id,unique_key,title,summary,category,tags,type,mission_status,event_id,image,objectives,rewards,requirements,updated_at,author,status,related_ids,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp
11,ocean-adventure-event,Ocean Adventure Event,Complete ocean adventure missions,Mission,mission|event|ocean,Event,Active,ocean-adventure-festival,https://images.unsplash.com/photo-1544005313-94ddf0286df2?q=80&w=800&auto=format&fit=crop,Complete 5 surfing challenges|Win 3 diving competitions|Collect 80 wave tokens,700 V-Stones|Surfboard Accessory|Ocean Badge,Reach player level 15,2024-02-01,WikiTeam,published,ocean-adventure-festival,Ocean Adventure Event,オーシャンアドベンチャーイベント,海洋冒险活动,海洋冒險活動,오션 어드벤처 이벤트,Complete ocean adventure missions for exclusive rewards,オーシャンアドベンチャーミッションをクリアして限定報酬を獲得
12,stargazing-event,Stargazing Event,Complete stargazing missions,Mission,mission|event|night,Event,Active,stargazing-celebration,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?q=80&w=800&auto=format&fit=crop,Observe 5 constellations|Take 3 night photos|Complete night matches,600 V-Stones|Telescope Accessory|Star Badge,Reach player level 12,2024-02-10,WikiTeam,published,stargazing-celebration,Stargazing Event,スタガジングイベント,观星活动,觀星活動,스타게이징 이벤트,Complete stargazing missions under the night sky,夜空の下でスタガジングミッションをクリア
13,sakura-blossom-event,Sakura Blossom Event,Complete sakura festival missions,Mission,mission|event|spring,Event,Active,sakura-blossom-festival,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,View 10 cherry blossoms|Complete flower arranging|Win spring matches,650 V-Stones|Flower Accessory|Blossom Badge,Reach player level 10,2024-03-01,WikiTeam,published,sakura-blossom-festival,Sakura Blossom Event,桜咲くイベント,樱花盛开活动,櫻花盛開活動,사쿠라 블라썸 이벤트,Complete sakura festival missions to celebrate spring,桜祭りミッションをクリアして春を祝おう
14,championship-challenge,Championship Challenge,Complete championship challenges,Mission,mission|challenge|tournament,Challenge,Active,championship-gacha,https://images.unsplash.com/photo-1551847677-dc82d764e1eb?q=80&w=800&auto=format&fit=crop,Win 10 championship matches|Reach top 100 ranking|Complete all daily missions for 7 days,1500 V-Stones|Championship Trophy|Gold Medal,Reach player level 20,2024-01-27,WikiTeam,published,championship-gacha,Championship Challenge,チャンピオンシップチャレンジ,冠军挑战,冠軍挑戰,챔피언십 챌린지,Complete championship challenges to prove your skills,チャンピオンシップチャレンジをクリアしてスキルを証明しよう
15,daily-gift-giving,Daily Gift Giving,Give gifts to characters daily,Mission,mission|daily|gift,Daily,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Give 1 gift to any character,25 V-Stones|Affection Points,,2024-01-15,WikiTeam,published,,Daily Gift Giving,デイリーギフトギビング,每日送礼,每日送禮,데일리 기프트 기빙,Give gifts to your favorite characters daily,毎日お気に入りのキャラクターにギフトを贈ろう
16,weekly-ranking-climb,Weekly Ranking Climb,Climb the weekly rankings,Mission,mission|weekly|ranking,Weekly,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Reach top 500 in weekly ranking|Win 10 ranked matches,400 V-Stones|Ranking Badge,,2024-01-15,WikiTeam,published,,Weekly Ranking Climb,ウィークリーランキングクライム,每周排名攀升,每週排名攀升,위클리 랭킹 클라임,Climb the weekly rankings to earn exclusive rewards,ウィークリーランキングを上げて限定報酬を獲得
17,mystic-magic-event,Mystic Magic Event,Complete magic tournament missions,Mission,mission|event|magic,Event,Active,mystic-magic-tournament,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?q=80&w=800&auto=format&fit=crop,Cast 20 spells|Win 5 magic duels|Collect 60 magic orbs,750 V-Stones|Magic Wand|Wizard Badge,Reach player level 18,2024-03-10,WikiTeam,published,mystic-magic-tournament,Mystic Magic Event,ミスティックマジックイベント,神秘魔法活动,神秘魔法活動,미스틱 매직 이벤트,Complete magic tournament missions for mystical rewards,マジックトーナメントミッションをクリアして神秘的な報酬を獲得
18,photography-challenge,Photography Challenge,Complete photography challenges,Mission,mission|challenge|photo,Challenge,Active,photography-masterclass,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=800&auto=format&fit=crop,Take 15 scenic photos|Win 3 photo contests|Learn 5 techniques,550 V-Stones|Camera Accessory|Photo Award,Reach player level 8,2024-03-20,WikiTeam,published,photography-masterclass,Photography Challenge,フォトグラフィーチャレンジ,摄影挑战,攝影挑戰,포토그래피 챌린지,Complete photography challenges to master the art,フォトグラフィーチャレンジをクリアして技術をマスター
19,lunar-new-year-story,Lunar New Year Story,Follow the Lunar New Year storyline,Mission,mission|story|festival,Story,Completed,lunar-new-year-event,https://images.unsplash.com/photo-1502680390469-be75c86b636f?q=80&w=800&auto=format&fit=crop,Complete dragon dance chapter|Complete red envelope chapter|Complete celebration chapter,450 V-Stones|Dragon Badge|Story Reward,Complete newcomer missions,2024-01-28,WikiTeam,published,lunar-new-year-event,Lunar New Year Story,旧正月ストーリー,农历新年故事,農曆新年故事,설날 스토리,Follow the Lunar New Year storyline and celebrate,旧正月のストーリーを追ってお祝いしよう
20,dream-weaver-event,Dream Weaver Event,Complete dream world missions,Mission,mission|event|dream,Event,Active,dream-weaver-festival,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=800&auto=format&fit=crop,Enter 5 dream sequences|Defeat 3 nightmares|Collect 70 dream fragments,700 V-Stones|Dream Accessory|Dream Badge,Reach player level 15,2024-06-01,WikiTeam,published,dream-weaver-festival,Dream Weaver Event,ドリームウィーバーイベント,织梦者活动,織夢者活動,드림 위버 이벤트,Complete dream world missions for magical rewards,ドリームワールドミッションをクリアして魔法の報酬を獲得
21,wolf-spirit-challenge,Wolf Spirit Challenge,Complete wolf spirit challenges,Mission,mission|challenge|survival,Challenge,Active,arctic-wolf-challenge,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=800&auto=format&fit=crop,Complete 5 survival challenges|Train with wolves 3 times|Collect 40 wolf spirits,600 V-Stones|Wolf Accessory|Spirit Medal,Reach player level 16,2024-06-10,WikiTeam,published,arctic-wolf-challenge,Wolf Spirit Challenge,ウルフスピリットチャレンジ,狼灵挑战,狼靈挑戰,울프 스피릿 챌린지,Complete wolf spirit challenges to prove your survival skills,ウルフスピリットチャレンジをクリアしてサバイバルスキルを証明
22,sacred-light-event,Sacred Light Event,Complete sacred light missions,Mission,mission|event|light,Event,Active,light-priestess-tournament,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,Win 5 holy matches|Collect 50 light orbs|Complete sacred rituals,800 V-Stones|Sacred Relic|Divine Badge,Reach player level 20,2024-06-20,WikiTeam,published,light-priestess-tournament,Sacred Light Event,セイクリッドライトイベント,神圣光之活动,神聖光之活動,세이크리드 라이트 이벤트,Complete sacred light missions for divine rewards,セイクリッドライトミッションをクリアして神聖な報酬を獲得
23,expired-winter-event,Expired Winter Event,Winter event missions (expired),Mission,mission|event|winter,Event,Expired,winter-wonderland-celebration,https://images.unsplash.com/photo-1482517967863-00e15c9b44be?q=80&w=800&auto=format&fit=crop,Build 3 snowmen|Complete ice skating|Collect snowflakes,500 V-Stones|Winter Accessory|Snowflake Badge,Reach player level 10,2024-05-01,WikiTeam,published,winter-wonderland-celebration,Expired Winter Event,期限切れウィンターイベント,已过期冬季活动,已過期冬季活動,만료된 윈터 이벤트,This winter event has expired,このウィンターイベントは期限切れです
24,locked-advanced-challenge,Locked Advanced Challenge,Advanced challenge (locked),Mission,mission|challenge|advanced,Challenge,Locked,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Complete 20 expert matches|Reach top 50 ranking|Master all techniques,2000 V-Stones|Expert Badge|Master Trophy,Reach player level 50|Complete all story missions,2024-01-15,WikiTeam,published,,Locked Advanced Challenge,ロックされた上級チャレンジ,锁定的高级挑战,鎖定的高級挑戰,잠긴 고급 챌린지,This advanced challenge is currently locked,この上級チャレンジは現在ロックされています
